tld,tier,category,reserved,mint_price_plug,subdomain_cut_pct,renewal_yr_plug
plug,LEGENDARY,flagship,true,500,5,100
dbws,LEGENDARY,flagship,true,500,5,100
wall,LEGENDARY,flagship,true,500,5,100
vault,LEGENDARY,flagship,true,500,5,100
bank,LEGENDARY,flagship,true,500,5,100
capital,LEGENDARY,flagship,true,500,5,100
defi,LEGENDARY,flagship,true,500,5,100
wealth,LEGENDARY,flagship,true,500,5,100
family,LEGENDARY,flagship,true,500,5,100
legacy,LEGENDARY,flagship,true,500,5,100
greenwood,LEGENDARY,flagship,true,500,5,100
blackwallstreet,LEGENDARY,flagship,true,500,5,100
sovereign,LEGENDARY,flagship,true,500,5,100
digitalplug,LEGENDARY,flagship,true,500,5,100
agentplug,GOLD,plugEcosystem,false,250,8,75
gptplug,GOLD,plugEcosystem,false,250,8,75
sellplug,GOLD,plugEcosystem,false,250,8,75
coinplug,GOLD,plugEcosystem,false,250,8,75
vaultplug,GOLD,plugEcosystem,false,250,8,75
chainplug,GOLD,plugEcosystem,false,250,8,75
storeplug,GOLD,plugEcosystem,false,250,8,75
brandplug,GOLD,plugEcosystem,false,250,8,75
legalplug,GOLD,plugEcosystem,false,250,8,75
fundplug,GOLD,plugEcosystem,false,250,8,75
pluggers,GOLD,plugEcosystem,false,250,8,75
plugged,GOLD,plugEcosystem,false,250,8,75
replug,GOLD,plugEcosystem,false,250,8,75
brainplug,GOLD,plugEcosystem,false,250,8,75
hackplug,GOLD,plugEcosystem,false,250,8,75
nodeplug,GOLD,plugEcosystem,false,250,8,75
swapplug,GOLD,plugEcosystem,false,250,8,75
buildplug,GOLD,plugEcosystem,false,250,8,75
toysplug,GOLD,plugEcosystem,false,250,8,75
emcee,GOLD,music,false,250,8,75
hiphop,GOLD,music,false,250,8,75
rap,GOLD,music,false,250,8,75
bars,GOLD,music,false,250,8,75
freestyle,GOLD,music,false,250,8,75
cipher,GOLD,music,false,250,8,75
mixtape,GOLD,music,false,250,8,75
boom,GOLD,music,false,250,8,75
trap,GOLD,music,false,250,8,75
drill,GOLD,music,false,250,8,75
rnb,GOLD,music,false,250,8,75
soul,GOLD,music,false,250,8,75
rhythm,GOLD,music,false,250,8,75
vocals,GOLD,music,false,250,8,75
harmony,GOLD,music,false,250,8,75
groove,GOLD,music,false,250,8,75
beats,GOLD,music,false,250,8,75
producer,GOLD,music,false,250,8,75
studio,GOLD,music,false,250,8,75
track,GOLD,music,false,250,8,75
drop,GOLD,music,false,250,8,75
vinyl,GOLD,music,false,250,8,75
sound,GOLD,music,false,250,8,75
audio,GOLD,music,false,250,8,75
lyrics,GOLD,music,false,250,8,75
melody,GOLD,music,false,250,8,75
sample,GOLD,music,false,250,8,75
remix,GOLD,music,false,250,8,75
acoustic,GOLD,music,false,250,8,75
amplify,GOLD,music,false,250,8,75
music,GOLD,music,false,250,8,75
bukaiju,GOLD,culture,false,250,8,75
roots,GOLD,culture,false,250,8,75
heritage,GOLD,culture,false,250,8,75
culture,GOLD,culture,false,250,8,75
diaspora,GOLD,culture,false,250,8,75
afro,GOLD,culture,false,250,8,75
ubuntu,GOLD,culture,false,250,8,75
melanin,GOLD,culture,false,250,8,75
kingdom,GOLD,culture,false,250,8,75
tribe,GOLD,culture,false,250,8,75
village,GOLD,culture,false,250,8,75
collective,GOLD,culture,false,250,8,75
movement,GOLD,culture,false,250,8,75
power,GOLD,culture,false,250,8,75
unity,GOLD,culture,false,250,8,75
rise,GOLD,culture,false,250,8,75
dynasty,GOLD,culture,false,250,8,75
empire,GOLD,culture,false,250,8,75
crown,GOLD,culture,false,250,8,75
throne,GOLD,culture,false,250,8,75
agent,GOLD,agent,false,250,8,75
gpt,GOLD,agent,false,250,8,75
ai,GOLD,agent,false,250,8,75
neural,GOLD,agent,false,250,8,75
clone,GOLD,agent,false,250,8,75
bot,GOLD,agent,false,250,8,75
assistant,GOLD,agent,false,250,8,75
prompt,GOLD,agent,false,250,8,75
model,GOLD,agent,false,250,8,75
inference,GOLD,agent,false,250,8,75
finance,GOLD,finance,false,250,8,75
wallet,GOLD,finance,false,250,8,75
trade,GOLD,finance,false,250,8,75
coin,GOLD,finance,false,250,8,75
token,GOLD,finance,false,250,8,75
stake,GOLD,finance,false,250,8,75
yield,GOLD,finance,false,250,8,75
lend,GOLD,finance,false,250,8,75
credit,GOLD,finance,false,250,8,75
invest,GOLD,finance,false,250,8,75
fund,GOLD,finance,false,250,8,75
money,GOLD,finance,false,250,8,75
cash,GOLD,finance,false,250,8,75
pay,GOLD,finance,false,250,8,75
escrow,GOLD,finance,false,250,8,75
ledger,GOLD,finance,false,250,8,75
treasury,GOLD,finance,false,250,8,75
fortune,GOLD,finance,false,250,8,75
treasure,GOLD,finance,false,250,8,75
store,STANDARD,commerce,false,100,10,50
shop,STANDARD,commerce,false,100,10,50
market,STANDARD,commerce,false,100,10,50
brand,STANDARD,commerce,false,100,10,50
biz,STANDARD,commerce,false,100,10,50
enterprise,STANDARD,commerce,false,100,10,50
company,STANDARD,commerce,false,100,10,50
startup,STANDARD,commerce,false,100,10,50
venture,STANDARD,commerce,false,100,10,50
deal,STANDARD,commerce,false,100,10,50
sale,STANDARD,commerce,false,100,10,50
buy,STANDARD,commerce,false,100,10,50
sell,STANDARD,commerce,false,100,10,50
commerce,STANDARD,commerce,false,100,10,50
retail,STANDARD,commerce,false,100,10,50
wholesale,STANDARD,commerce,false,100,10,50
stream,STANDARD,media,false,100,10,50
tv,STANDARD,media,false,100,10,50
watch,STANDARD,media,false,100,10,50
media,STANDARD,media,false,100,10,50
channel,STANDARD,media,false,100,10,50
show,STANDARD,media,false,100,10,50
series,STANDARD,media,false,100,10,50
podcast,STANDARD,media,false,100,10,50
radio,STANDARD,media,false,100,10,50
live,STANDARD,media,false,100,10,50
broadcast,STANDARD,media,false,100,10,50
nerdtv,STANDARD,media,false,100,10,50
glitch,STANDARD,media,false,100,10,50
home,STANDARD,housing,false,100,10,50
house,STANDARD,housing,false,100,10,50
estate,STANDARD,housing,false,100,10,50
property,STANDARD,housing,false,100,10,50
realty,STANDARD,housing,false,100,10,50
land,STANDARD,housing,false,100,10,50
build,STANDARD,housing,false,100,10,50
refuge,STANDARD,housing,false,100,10,50
shelter,STANDARD,housing,false,100,10,50
haven,STANDARD,housing,false,100,10,50
dwelling,STANDARD,housing,false,100,10,50
newburgh,LEGENDARY,geographic,true,500,5,100
